TS,meter,pv_simulated,sum
2021-07-13 00:00:04,4.49,0,4.49
2021-07-13 00:00:06,1.87,0,1.87
2021-07-13 00:00:08,4.18,0,4.18
2021-07-13 00:00:10,4.43,0,4.43
2021-07-13 00:00:12,0.7,0,0.7
2021-07-13 00:00:14,5.7,0,5.7
2021-07-13 00:00:16,4.28,0,4.28
2021-07-13 00:00:18,4.57,0,4.57
2021-07-13 00:00:20,5.07,0,5.07
2021-07-13 00:00:22,4.23,0,4.23
2021-07-13 00:00:24,0.1,0,0.1
2021-07-13 00:00:26,6.21,0,6.21
2021-07-13 00:00:28,7.7,0,7.7
2021-07-13 00:00:30,4.77,0,4.77
2021-07-13 00:00:32,6.36,0,6.36
2021-07-13 00:00:34,8.35,0,8.35
2021-07-13 00:00:36,1.34,0,1.34
2021-07-13 00:00:38,0.64,0,0.64
2021-07-13 00:00:40,8.31,0,8.31
2021-07-13 00:00:42,2.45,0,2.45
2021-07-13 00:00:44,4.96,0,4.96
2021-07-13 00:00:46,3.25,0,3.25
2021-07-13 00:00:48,3.65,0,3.65
2021-07-13 00:00:50,5.54,0,5.54
2021-07-13 00:00:52,6.46,0,6.46
2021-07-13 00:00:54,7.18,0,7.18
2021-07-13 00:00:56,8.43,0,8.43
2021-07-13 00:00:58,8.13,0,8.13
2021-07-13 00:01:00,0.06,0,0.06
2021-07-13 00:01:02,5.99,0,5.99
2021-07-13 00:01:04,8.88,0,8.88
2021-07-13 00:01:06,3.07,0,3.07
2021-07-13 00:01:08,4.31,0,4.31
2021-07-13 00:01:10,4.51,0,4.51
2021-07-13 00:01:12,0.34,0,0.34
2021-07-13 00:01:14,3.3,0,3.3
2021-07-13 00:01:16,2.85,0,2.85
2021-07-13 00:01:18,7.24,0,7.24
2021-07-13 00:01:20,2.53,0,2.53
2021-07-13 00:01:22,8.37,0,8.37
2021-07-13 00:01:24,0.36,0,0.36
2021-07-13 00:01:26,7.21,0,7.21
2021-07-13 00:01:28,3.67,0,3.67
2021-07-13 00:01:30,5.45,0,5.45
2021-07-13 00:01:32,8.61,0,8.61
2021-07-13 00:01:34,5.83,0,5.83
2021-07-13 00:01:36,5.15,0,5.15
2021-07-13 00:01:38,1.88,0,1.88
2021-07-13 00:01:40,7.57,0,7.57
2021-07-13 00:01:42,7.31,0,7.31
2021-07-13 00:01:44,3.55,0,3.55
2021-07-13 00:01:46,5.8,0,5.8
2021-07-13 00:01:48,1.07,0,1.07
2021-07-13 00:01:50,4.28,0,4.28
2021-07-13 00:01:52,0.86,0,0.86
2021-07-13 00:01:54,8.89,0,8.89
2021-07-13 00:01:56,5.84,0,5.84
2021-07-13 00:01:58,8.13,0,8.13
2021-07-13 00:02:00,8.2,0,8.2
2021-07-13 00:02:02,7.64,0,7.64
2021-07-13 00:02:05,8.54,0,8.54
2021-07-13 00:02:07,1.83,0,1.83
2021-07-13 00:02:09,3.67,0,3.67
2021-07-13 00:02:11,5.01,0,5.01
2021-07-13 00:02:13,6.75,0,6.75
2021-07-13 00:02:15,7.02,0,7.02
2021-07-13 00:02:17,8.69,0,8.69
2021-07-13 00:02:19,4.95,0,4.95
2021-07-13 00:02:21,2.34,0,2.34
2021-07-13 00:02:23,2.98,0,2.98
2021-07-13 00:02:25,2.15,0,2.15
2021-07-13 00:02:27,3.35,0,3.35
2021-07-13 00:02:29,3.77,0,3.77
2021-07-13 00:02:31,1.92,0,1.92
2021-07-13 00:02:33,3.66,0,3.66
2021-07-13 00:02:35,4.24,0,4.24
2021-07-13 00:02:37,4.63,0,4.63
2021-07-13 00:02:39,0.08,0,0.08
2021-07-13 00:02:41,7.46,0,7.46
2021-07-13 00:02:43,1.92,0,1.92
